店舗名(日本語),店舗名(英語),カテゴリー,郵便番号,都道府県名,市区町村名,行政区名,住所,緯度,経度,電話番号,webサイト,営業開始時間,営業終了時間,営業時間,定休日,駐車可能台数,男子トイレの数,女子トイレの数,男女兼用トイレの数,説明(日本語),説明(英語),更新日,登録日,自治体コード
鯖江市役所,"",市役所・区役所,9160023,福井県,鯖江市,"",西山町１３−１,35.956477,136.184073,0778-51-２２00,https://www.city.sabae.fukui.jp/index.html,"","",月曜日〜金曜日、8:30〜17:15 ,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
地域事業主 わどう,"",学習センター,9160053,福井県,鯖江市,"",日の出町７−４２,35.938552,136.183866,080-5640-0２33,"","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
佐野蕎麦 塩だけで食べる異次元そば,"",蕎麦店,9160026,福井県,鯖江市,"",本町２丁目２−２２,35.945618,136.185107,090-8２6２-8833,https://sanosoba.com/ ,"","",月曜日、金曜日、12:00〜14:00、月曜日、金曜日、18:00〜20:00、土曜日〜日曜日、12:00〜16:00 ,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ヨーロッパン キムラヤ,"",パン屋,9160025,福井県,鯖江市,"",旭町２丁目３−２０,35.946157,136.187179,0778-51-0502,http://www.e-kimuraya.com/ ,"","",火曜日〜土曜日、9:30〜18:00,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ミート＆デリカささき,"",肉店,9160026,福井県,鯖江市,"",本町３丁目１−５,35.946548,136.185571,0120-264-129,https://www.meat-sasaki.com/ ,"","",月曜日〜土曜日、9:00〜19:30,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
かわだ温泉 ラポーゼかわだ,"",温泉旅館,9161235,福井県,鯖江市,"",上河内町１９−３７−２,35.948063,136.300009,0778-65-0012,http://lapause.jp/,"","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
ラポーゼかわだ ほたるの里,"",レストラン,9161235,福井県,鯖江市,"",上河内町１９−３７−２,35.948063,136.300009,0778-65-0012,http://lapause.jp/,"","",月曜日〜金曜日、11:00〜15:00、土曜日〜日曜日、11:00〜19:30,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
リラクゼーション整体 癒しのたまご,"",整体,9160022,福井県,鯖江市,"",水落町３丁目８−２８,35.967237,136.181307,0778-52-6545 ,https://seitai-iyasinotamago.business.site/,"","",月〜水、金〜日、10:00〜22:00,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
コスメティックス美香,"",化粧品店,9160027,福井県,鯖江市,"",桜町２丁目８南ビル１F３１８２桜町,35.946885,136.1781753,0778-51-4414,http://bellver.jp/ ,"","",月曜日〜土曜日、10:00〜19:00,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
green parlour ベルベール,"",カフェ・喫茶,9160028,福井県,鯖江市,"",小黒町１丁目５−３,35.950264,136.177074,0778-52-3888,"","","",月、水〜日、9:00〜23:00,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
聴琴亭,"",蕎麦店,9160034,福井県,鯖江市,"",下新庄町６３−４４,35.933179,136.212288,0778-52-7514,http://www.choukintei.jp/,"","",月、水〜土、11:00〜14:00、日曜日、11:00〜15:00,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
たんなん夢レディオ,"",ラジオ放送局,9160026,福井県,鯖江市,"",本町２丁目２−１６,35.946248,136.185026,0778-53-2562,"","","",月〜火、金、9:00〜20:00、水曜日、9:00〜19:00、木曜日、土曜日、9:00〜18:00、日曜日、10:00〜14:00,"","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
